datetime,site_id,depth,observation,variable
2026-07-27 12:00:00,ORMS,0.0,0.20648896619263146,M2
2026-07-27 12:00:00,ORMS,0.0,4.969986417662001,Ws
2026-07-27 12:00:00,ORMS,0.0,2.448176358596606e-06,b_var
2026-07-27 12:00:00,ORMS,0.0,0.7334576291655112,eta
2026-07-27 12:00:00,ORMS,0.0,1.4188403243165355,m_ratio
2026-07-27 12:00:00,ORMS,0.0,0.005740365693368454,n2_max
2026-07-27 12:00:00,ORMS,0.0,0.005541288360408845,n2_therm
2026-07-27 12:00:00,ORMS,0.0,0.0001453956698120873,z_fluc
2026-07-27 12:00:00,ORMS,0.0,3.4846131784874674,z_n2
2026-07-27 12:00:00,ORMS,0.0,3.3000000000000003,z_therm
2026-07-27 12:00:00,ORMS,0.5,18.9,temperature
2026-07-27 12:00:00,ORMS,1.0,18.91,temperature
2026-07-27 12:00:00,ORMS,2.0,18.91,temperature
2026-07-27 12:00:00,ORMS,3.0,18.94611111111111,temperature
2026-07-27 12:00:00,ORMS,4.0,15.9,temperature
2026-07-28 12:00:00,ORMS,0.0,0.14386854531554877,M1
2026-07-28 12:00:00,ORMS,0.0,0.20499709255344217,M2
2026-07-28 12:00:00,ORMS,0.0,4.913256257887242,Ws
2026-07-28 12:00:00,ORMS,0.0,2.408518379456054e-06,b_var
2026-07-28 12:00:00,ORMS,0.0,0.731035028770039,eta
2026-07-28 12:00:00,ORMS,0.0,1.4248916752707783,m_ratio
2026-07-28 12:00:00,ORMS,0.0,0.005706593555583068,n2_max
2026-07-28 12:00:00,ORMS,0.0,0.005417527581472973,n2_therm
2026-07-28 12:00:00,ORMS,0.0,0.00014374076467427166,z_fluc
2026-07-28 12:00:00,ORMS,0.0,3.485216678874648,z_n2
2026-07-28 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-07-28 12:00:00,ORMS,0.5,19.090441571305686,temperature
2026-07-28 12:00:00,ORMS,1.0,19.07239214868493,temperature
2026-07-28 12:00:00,ORMS,2.0,19.07239214868493,temperature
2026-07-28 12:00:00,ORMS,3.0,19.119466282616063,temperature
2026-07-28 12:00:00,ORMS,4.0,16.121430023720773,temperature
2026-07-29 12:00:00,ORMS,0.0,0.14726069214811252,M1
2026-07-29 12:00:00,ORMS,0.0,0.2095593267051917,M2
2026-07-29 12:00:00,ORMS,0.0,5.029058061544512,Ws
2026-07-29 12:00:00,ORMS,0.0,2.5184002691501475e-06,b_var
2026-07-29 12:00:00,ORMS,0.0,0.7317856042557244,eta
2026-07-29 12:00:00,ORMS,0.0,1.4230499914696868,m_ratio
2026-07-29 12:00:00,ORMS,0.0,0.005828449887887729,n2_max
2026-07-29 12:00:00,ORMS,0.0,0.005026008160754717,n2_therm
2026-07-29 12:00:00,ORMS,0.0,0.00014713272215893802,z_fluc
2026-07-29 12:00:00,ORMS,0.0,3.485142551223979,z_n2
2026-07-29 12:00:00,ORMS,0.0,3.9000000000000004,z_therm
2026-07-29 12:00:00,ORMS,0.5,19.237856338849223,temperature
2026-07-29 12:00:00,ORMS,1.0,19.22185434355546,temperature
2026-07-29 12:00:00,ORMS,2.0,19.22185434355546,temperature
2026-07-29 12:00:00,ORMS,3.0,19.265857336496104,temperature
2026-07-29 12:00:00,ORMS,4.0,16.227896244724437,temperature
2026-07-30 12:00:00,ORMS,0.0,0.15068475185413455,M1
2026-07-30 12:00:00,ORMS,0.0,0.21416272234359113,M2
2026-07-30 12:00:00,ORMS,0.0,5.145949028441197,Ws
2026-07-30 12:00:00,ORMS,0.0,2.631783452373515e-06,b_var
2026-07-30 12:00:00,ORMS,0.0,0.7325138096949274,eta
2026-07-30 12:00:00,ORMS,0.0,1.4212633973137796,m_ratio
2026-07-30 12:00:00,ORMS,0.0,0.005951373070587681,n2_max
2026-07-30 12:00:00,ORMS,0.0,0.005648467923002824,n2_therm
2026-07-30 12:00:00,ORMS,0.0,0.00015055676792652406,z_fluc
2026-07-30 12:00:00,ORMS,0.0,3.4850703783330528,z_n2
2026-07-30 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-07-30 12:00:00,ORMS,0.5,19.38527110639276,temperature
2026-07-30 12:00:00,ORMS,1.0,19.371316538425994,temperature
2026-07-30 12:00:00,ORMS,2.0,19.371316538425994,temperature
2026-07-30 12:00:00,ORMS,3.0,19.412248390376146,temperature
2026-07-30 12:00:00,ORMS,4.0,16.334362465728105,temperature
2026-07-31 12:00:00,ORMS,0.0,0.15414059271839606,M1
2026-07-31 12:00:00,ORMS,0.0,0.21880711326205263,M2
2026-07-31 12:00:00,ORMS,0.0,5.263924663700781,Ws
2026-07-31 12:00:00,ORMS,0.0,2.748732246592778e-06,b_var
2026-07-31 12:00:00,ORMS,0.0,0.7332206207457395,eta
2026-07-31 12:00:00,ORMS,0.0,1.419529465945403,m_ratio
2026-07-31 12:00:00,ORMS,0.0,0.006075358783547171,n2_max
2026-07-31 12:00:00,ORMS,0.0,0.005765439373115842,n2_therm
2026-07-31 12:00:00,ORMS,0.0,0.00015401277534321522,z_fluc
2026-07-31 12:00:00,ORMS,0.0,3.485000093753801,z_n2
2026-07-31 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-07-31 12:00:00,ORMS,0.5,19.5326858739363,temperature
2026-07-31 12:00:00,ORMS,1.0,19.520778733296524,temperature
2026-07-31 12:00:00,ORMS,2.0,19.520778733296524,temperature
2026-07-31 12:00:00,ORMS,3.0,19.558639444256183,temperature
2026-07-31 12:00:00,ORMS,4.0,16.44082868673177,temperature
2026-08-01 12:00:00,ORMS,0.0,0.15762808425835403,M1
2026-08-01 12:00:00,ORMS,0.0,0.22349233478007452,M2
2026-08-01 12:00:00,ORMS,0.0,5.382980514422122,Ws
2026-08-01 12:00:00,ORMS,0.0,2.8693112735795263e-06,b_var
2026-08-01 12:00:00,ORMS,0.0,0.7339069573908256,eta
2026-08-01 12:00:00,ORMS,0.0,1.417845911352753,m_ratio
2026-08-01 12:00:00,ORMS,0.0,0.006200402751317652,n2_max
2026-08-01 12:00:00,ORMS,0.0,0.00588340654213234,n2_therm
2026-08-01 12:00:00,ORMS,0.0,0.0001575006190228656,z_fluc
2026-08-01 12:00:00,ORMS,0.0,3.4849316339267746,z_n2
2026-08-01 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-08-01 12:00:00,ORMS,0.5,19.680100641479836,temperature
2026-08-01 12:00:00,ORMS,1.0,19.670240928167054,temperature
2026-08-01 12:00:00,ORMS,2.0,19.670240928167054,temperature
2026-08-01 12:00:00,ORMS,3.0,19.705030498136225,temperature
2026-08-01 12:00:00,ORMS,4.0,16.547294907735434,temperature
2026-08-02 12:00:00,ORMS,0.0,0.1611470972082663,M1
2026-08-02 12:00:00,ORMS,0.0,0.22821822372735417,M2
2026-08-02 12:00:00,ORMS,0.0,5.503112169224718,Ws
2026-08-02 12:00:00,ORMS,0.0,2.9935854552901044e-06,b_var
2026-08-02 12:00:00,ORMS,0.0,0.7345736878366315,eta
2026-08-02 12:00:00,ORMS,0.0,1.4162105782917407,m_ratio
2026-08-02 12:00:00,ORMS,0.0,0.006326500742647886,n2_max
2026-08-02 12:00:00,ORMS,0.0,0.0060023656260698565,n2_therm
2026-08-02 12:00:00,ORMS,0.0,0.0001610201748134532,z_fluc
2026-08-02 12:00:00,ORMS,0.0,3.4848649380259396,z_n2
2026-08-02 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-08-02 12:00:00,ORMS,0.5,19.827515409023373,temperature
2026-08-02 12:00:00,ORMS,1.0,19.819703123037588,temperature
2026-08-02 12:00:00,ORMS,2.0,19.819703123037588,temperature
2026-08-02 12:00:00,ORMS,3.0,19.851421552016266,temperature
2026-08-02 12:00:00,ORMS,4.0,16.653761128739102,temperature
2026-08-03 12:00:00,ORMS,0.0,0.1646975035044921,M1
2026-08-03 12:00:00,ORMS,0.0,0.23298461842098048,M2
2026-08-03 12:00:00,ORMS,0.0,5.624315257657235,Ws
2026-08-03 12:00:00,ORMS,0.0,3.1216200098402016e-06,b_var
2026-08-03 12:00:00,ORMS,0.0,0.7352216320941589,eta
2026-08-03 12:00:00,ORMS,0.0,1.4146214330117386,m_ratio
2026-08-03 12:00:00,ORMS,0.0,0.006453648569717143,n2_max
2026-08-03 12:00:00,ORMS,0.0,0.006343945639453894,n2_therm
2026-08-03 12:00:00,ORMS,0.0,0.00016457131977953843,z_fluc
2026-08-03 12:00:00,ORMS,0.0,3.4847999478175935,z_n2
2026-08-03 12:00:00,ORMS,0.0,3.2,z_therm
2026-08-03 12:00:00,ORMS,0.5,19.97493017656691,temperature
2026-08-03 12:00:00,ORMS,1.0,19.969165317908118,temperature
2026-08-03 12:00:00,ORMS,2.0,19.969165317908118,temperature
2026-08-03 12:00:00,ORMS,3.0,19.997812605896307,temperature
2026-08-03 12:00:00,ORMS,4.0,16.760227349742767,temperature
2026-08-04 12:00:00,ORMS,0.0,0.16827917627035588,M1
2026-08-04 12:00:00,ORMS,0.0,0.23779135865667528,M2
2026-08-04 12:00:00,ORMS,0.0,5.746585450023216,Ws
2026-08-04 12:00:00,ORMS,0.0,3.253480447564984e-06,b_var
